title,url,date,Threat Actor
"Need a lot of data including ""mobile phone number"" + ""password"" in the Philippines, b",https://breachforums.st/Thread-BUYING-Need-a-lot-of-data-including-mobile-phone-number-password-in-the-Philippines-b,"12-06-2024, 09:58 PM", tiandao
Buying Insider Trading Secrets,https://breachforums.st/Thread-Buying-Insider-Trading-Secrets,"12-06-2024, 11:49 PM", marvelOUS
Looking for people to sim swap AT&T,https://breachforums.st/Thread-REQUEST-Looking-for-people-to-sim-swap-AT-T,"12-07-2024, 12:23 AM", herefortheoofs
"Buying FULL RaidForums Database - $10,000",https://breachforums.st/Thread-BUYING-Buying-FULL-RaidForums-Database-10-000,"12-07-2024, 12:26 AM", whiteroad
You're hacker ? I bet 500$ + tip,https://breachforums.st/Thread-You-re-hacker-I-bet-500-tip,"12-07-2024, 12:22 AM", l-8-l
⚡AUTODOXER | CHEAPEST PRICES⚡,https://breachforums.st/Thread-SELLING-%E2%9A%A1AUTODOXER-CHEAPEST-PRICES%E2%9A%A1,"12-07-2024, 03:52 AM", xanarchy
⚡PUBLIC.COM VM | CHEAPEST PRICES⚡,https://breachforums.st/Thread-SELLING-%E2%9A%A1PUBLIC-COM-VM-CHEAPEST-PRICES%E2%9A%A1,"12-07-2024, 03:55 AM", xanarchy
Looking for someone with untouched logs,https://breachforums.st/Thread-Looking-for-someone-with-untouched-logs,"12-06-2024, 10:57 PM", gfromdao
✨X2 SI-PNI BRAZIL DATA CONSULTATION LEAK✨,https://breachforums.st/Thread-%E2%9C%A8X2-SI-PNI-BRAZIL-DATA-CONSULTATION-LEAK%E2%9C%A8,"12-07-2024, 01:41 AM", teDools
9X⭐️VyperVpn❤️ PREMIUM ⭐️ ✔️ WORKING ✔️ HQ,https://breachforums.st/Thread-9X%E2%AD%90%EF%B8%8FVyperVpn%E2%9D%A4%EF%B8%8F-PREMIUM-%E2%AD%90%EF%B8%8F-%E2%9C%94%EF%B8%8F-WORKING-%E2%9C%94%EF%B8%8F-HQ,"12-07-2024, 03:52 AM", Interstellar
ellipal crypto hardware wallet,https://breachforums.st/Thread-REQUEST-ellipal-crypto-hardware-wallet,"12-06-2024, 08:32 PM", elixir
EPIC Metals LEAKED (2024),https://breachforums.st/Thread-COLLECTION-EPIC-Metals-LEAKED-2024,"12-06-2024, 08:21 PM", creek97
EPIC Metals LEAKED (2024),https://breachforums.st/Thread-COLLECTION-EPIC-Metals-LEAKED-2024--151877,"12-06-2024, 08:22 PM", creek97
Laroute.fr Free Leaked Emails Employees,https://breachforums.st/Thread-COLLECTION-Laroute-fr-Free-Leaked-Emails-Employees,"12-06-2024, 08:35 PM", creek97
bluesoft-group.com LEAKED Emails Employees,https://breachforums.st/Thread-COLLECTION-bluesoft-group-com-LEAKED-Emails-Employees,"12-06-2024, 08:42 PM", creek97
